geneId,geneName,locus,strand,chromosome
gene-GTF2H3,GTF2H3,NC_059173.1,+,17,
gene-GTF2H4,GTF2H4,NC_059158.1,+,2,
gene-GTF2H5,GTF2H5,NC_059166.1,-,10,
gene-GTF2I,GTF2I,NC_059180.1,+,24,
gene-GTF2IRD1,GTF2IRD1,NC_059180.1,+,24,
gene-GTF3A,GTF3A,NC_059169.1,+,13,
gene-GTF3C1,GTF3C1,NC_059180.1,+,24,
gene-GTF3C2,GTF3C2,NC_059168.1,+,12,
gene-GTF3C3,GTF3C3,NC_059158.1,-,2,
gene-GTF3C4,GTF3C4,NC_059168.1,+,12,
gene-GTF3C5,GTF3C5,NC_059168.1,+,12,
gene-GTF3C6,GTF3C6,NC_059166.1,+,10,
gene-GTPBP1,GTPBP1,NC_059160.1,-,4,
gene-GTPBP10,GTPBP10,NC_059164.1,+,8,
gene-GTPBP2,GTPBP2,NC_059158.1,+,2,
gene-GTPBP3,GTPBP3,NC_059165.1,+,9,
gene-GTPBP4,GTPBP4,NC_059170.1,+,14,
gene-GTPBP6,GTPBP6,NC_059181.1,-,X,
gene-GTPBP8,GTPBP8,NC_059157.1,+,1,
gene-GTSE1,GTSE1,NC_059160.1,-,4,
gene-GTSF1,GTSF1,NC_059160.1,-,4,
gene-GTSF1L,GTSF1L,NC_059170.1,+,14,
gene-GUCA1ANB,GUCA1ANB,NC_059158.1,-,2,
gene-GUCA1B,GUCA1B,NC_059158.1,+,2,
gene-GUCA1C,GUCA1C,NC_059157.1,-,1,
gene-GUCA2A,GUCA2A,NC_059162.1,+,6,
gene-GUCA2B,GUCA2B,NC_059162.1,-,6,
gene-GUCD1,GUCD1,NC_059173.1,-,17,
gene-GUCY1A1,GUCY1A1,NC_059173.1,+,17,
gene-GUCY1A2,GUCY1A2,NC_059172.1,-,16,
gene-GUCY1B1,GUCY1B1,NC_059173.1,+,17,
gene-GUCY2C,GUCY2C,NC_059160.1,-,4,
gene-GUCY2D,GUCY2D,NC_059159.1,-,3,
gene-GUCY2F,GUCY2F,NC_059181.1,+,X,
gene-GUF1,GUF1,NC_059163.1,-,7,
gene-GUK1,GUK1,NC_059165.1,+,9,
gene-GULP1,GULP1,NC_059158.1,-,2,
gene-GVQW3,GVQW3,NC_059172.1,-,16,
gene-GXYLT1,GXYLT1,NC_059160.1,-,4,
gene-GXYLT2,GXYLT2,NC_059177.1,-,21,
gene-GYG1,GYG1,NC_059157.1,-,1,
gene-GYG2,GYG2,NC_059181.1,+,X,
gene-GYPC,GYPC,NC_059158.1,+,2,
gene-GYS1,GYS1,NC_059174.1,-,18,
gene-GYS2,GYS2,NC_059160.1,-,4,
gene-GZF1,GZF1,NC_059170.1,-,14,
gene-GZMA,GZMA,NC_059175.1,-,19,
gene-GZMK,GZMK,NC_059175.1,-,19,
gene-GZMM,GZMM,NC_059165.1,-,9,
gene-H0I40_mgp01,-,NC_049568.1,+,MT,
gene-H0I40_mgp03,ND6,NC_049568.1,-,MT,
gene-H0I40_mgp04,ND5,NC_049568.1,+,MT,
gene-H0I40_mgp05,ND4,NC_049568.1,+,MT,
gene-H0I40_mgp06,ND4L,NC_049568.1,+,MT,
gene-H0I40_mgp07,ND3,NC_049568.1,+,MT,
gene-H0I40_mgp08,COX3,NC_049568.1,+,MT,
gene-H0I40_mgp09,ATP6,NC_049568.1,+,MT,
gene-H0I40_mgp10,ATP8,NC_049568.1,+,MT,
gene-H0I40_mgp11,COX2,NC_049568.1,+,MT,
gene-H0I40_mgp12,COX1,NC_049568.1,+,MT,
gene-H0I40_mgp13,ND2,NC_049568.1,+,MT,
gene-H0I40_mgp14,ND1,NC_049568.1,+,MT,
gene-H0I40_mgr01,-,NC_049568.1,+,MT,
gene-H0I40_mgr02,-,NC_049568.1,+,MT,
gene-H0I40_mgt01,-,NC_049568.1,+,MT,
gene-H0I40_mgt02,-,NC_049568.1,+,MT,
gene-H0I40_mgt03,-,NC_049568.1,+,MT,
gene-H0I40_mgt04,-,NC_049568.1,+,MT,
gene-H0I40_mgt05,-,NC_049568.1,-,MT,
gene-H0I40_mgt06,-,NC_049568.1,+,MT,
gene-H0I40_mgt07,-,NC_049568.1,+,MT,
gene-H0I40_mgt08,-,NC_049568.1,-,MT,
gene-H0I40_mgt09,-,NC_049568.1,-,MT,
gene-H0I40_mgt10,-,NC_049568.1,-,MT,
gene-H0I40_mgt11,-,NC_049568.1,-,MT,
gene-H0I40_mgt12,-,NC_049568.1,-,MT,
gene-H0I40_mgt13,-,NC_049568.1,+,MT,
gene-H0I40_mgt14,-,NC_049568.1,+,MT,
gene-H0I40_mgt15,-,NC_049568.1,+,MT,
gene-H0I40_mgt16,-,NC_049568.1,+,MT,
gene-H0I40_mgt17,-,NC_049568.1,+,MT,
gene-H0I40_mgt18,-,NC_049568.1,+,MT,
gene-H0I40_mgt19,-,NC_049568.1,+,MT,
gene-H0I40_mgt20,-,NC_049568.1,-,MT,
gene-H0I40_mgt21,-,NC_049568.1,+,MT,
gene-H0I40_mgt22,-,NC_049568.1,-,MT,
gene-H1-1,H1-1,NC_059158.1,-,2,
gene-H1-2,H1-2,NC_059158.1,-,2,
gene-H1-4,H1-4,NC_059158.1,+,2,
gene-H6PD,H6PD,NC_059161.1,+,5,
gene-HAAO,HAAO,NC_059168.1,-,12,
gene-HABP2,HABP2,NC_059179.1,+,23,
gene-HABP4,HABP4,NC_059159.1,+,3,
gene-HACD1,HACD1,NC_059170.1,+,14,
gene-HACD2,HACD2,NC_059157.1,-,1,
gene-HACD3,HACD3,NC_059167.1,-,11,
gene-HACD4,HACD4,NC_059159.1,+,3,
gene-HACE1,HACE1,NC_059166.1,-,10,
gene-HACL1,HACL1,NC_059157.1,-,1,
gene-HADH,HADH,NC_059163.1,-,7,
gene-HADHA,HADHA,NC_059168.1,+,12,
gene-HADHB,HADHB,NC_059168.1,-,12,
gene-HAGH,HAGH,NC_059180.1,+,24,
gene-HAGHL,HAGHL,NC_059180.1,-,24,
gene-HAL,HAL,NC_059160.1,+,4,
gene-HAND1,HAND1,NC_059165.1,+,9,
gene-HAND2,HAND2,NC_059159.1,-,3,
gene-HAO1,HAO1,NC_059170.1,+,14,
gene-HAO2,HAO2,NC_059162.1,-,6,
gene-HAP1,HAP1,NC_059159.1,+,3,
gene-HAPLN1,HAPLN1,NC_059165.1,+,9,
gene-HAPLN2,HAPLN2,NC_059162.1,-,6,
gene-HAPLN3,HAPLN3,NC_059176.1,+,20,
gene-HAPLN4,HAPLN4,NC_059165.1,-,9,
gene-HARBI1,HARBI1,NC_059172.1,+,16,
gene-HARS1,HARS1,NC_059165.1,+,9,
gene-HARS2,HARS2,NC_059165.1,-,9,
gene-HAS1,HAS1,NC_059174.1,-,18,
gene-HASPIN,HASPIN,NC_059159.1,-,3,
gene-HAT1,HAT1,NC_059158.1,-,2,
gene-HAUS1,HAUS1,NC_059178.1,-,22,
gene-HAUS2,HAUS2,NC_059167.1,-,11,
gene-HAUS3,HAUS3,NC_059163.1,-,7,
gene-HAUS4,HAUS4,NC_059167.1,-,11,
gene-HAUS5,HAUS5,NC_059174.1,+,18,
gene-HAUS6,HAUS6,NC_059159.1,+,3,
gene-HAUS7,HAUS7,NC_059181.1,+,X,
gene-HAUS8,HAUS8,NC_059165.1,-,9,
gene-HAX1,HAX1,NC_059162.1,-,6,
gene-HBA1,HBA1,NC_059180.1,-,24,
gene-HBE1,HBE1,NC_059172.1,-,16,
gene-HBEGF,HBEGF,NC_059165.1,+,9,
gene-HBM,HBM,NC_059180.1,-,24,
gene-HBP1,HBP1,NC_059164.1,+,8,
gene-HBQ1,HBQ1,NC_059180.1,-,24,
gene-HBS1L,HBS1L,NC_059166.1,+,10,
gene-HCAR1,HCAR1,NC_059173.1,-,17,
gene-HCFC1,HCFC1,NC_059181.1,+,X,
gene-HCFC1R1,HCFC1R1,NC_059180.1,+,24,
gene-HCFC2,HCFC2,NC_059160.1,-,4,
gene-HCK,HCK,NC_059170.1,-,14,
gene-HCLS1,HCLS1,NC_059157.1,-,1,
gene-HCN1,HCN1,NC_059175.1,+,19,
gene-HCN2,HCN2,NC_059165.1,-,9,
gene-HCN3,HCN3,NC_059162.1,-,6,
gene-HCN4,HCN4,NC_059167.1,+,11,
gene-HCRT,HCRT,NC_059159.1,+,3,
gene-HCRTR1,HCRTR1,NC_059158.1,-,2,
gene-HCRTR2,HCRTR2,NC_059158.1,+,2,
gene-HCST,HCST,NC_059174.1,+,18,
gene-HDAC1,HDAC1,NC_059158.1,-,2,
gene-HDAC10,HDAC10,NC_059160.1,+,4,
gene-HDAC11,HDAC11,NC_059177.1,-,21,
gene-HDAC2,HDAC2,NC_059166.1,-,10,
gene-HDAC3,HDAC3,NC_059165.1,+,9,
gene-HDAC4,HDAC4,NC_059162.1,-,6,
gene-HDAC5,HDAC5,NC_059159.1,+,3,
gene-HDAC6,HDAC6,NC_059181.1,-,X,
gene-HDAC7,HDAC7,NC_059160.1,-,4,
gene-HDAC8,HDAC8,NC_059181.1,-,X,
gene-HDAC9,HDAC9,NC_059164.1,+,8,
gene-HDC,HDC,NC_059167.1,-,11,
gene-HDDC2,HDDC2,NC_059166.1,-,10,
gene-HDDC3,HDDC3,NC_059176.1,-,20,
gene-HDGF,HDGF,NC_059162.1,+,6,
gene-HDGFL1,HDGFL1,NC_059158.1,+,2,
gene-HDGFL2,HDGFL2,NC_059165.1,+,9,
gene-HDGFL3,HDGFL3,NC_059176.1,-,20,
gene-HDHD2,HDHD2,NC_059178.1,+,22,
gene-HDHD3,HDHD3,NC_059159.1,-,3,
gene-HDHD5,HDHD5,NC_059160.1,+,4,
gene-HDX,HDX,NC_059181.1,-,X,
gene-HEATR1,HEATR1,NC_059160.1,-,4,
gene-HEATR3,HEATR3,NC_059174.1,+,18,
gene-HEATR4,HEATR4,NC_059167.1,+,11,
gene-HEATR5A,HEATR5A,NC_059176.1,+,20,
gene-HEATR5B,HEATR5B,NC_059168.1,-,12,
gene-HEATR6,HEATR6,NC_059159.1,+,3,
gene-HEATR9,HEATR9,NC_059159.1,-,3,
gene-HEBP1,HEBP1,NC_059160.1,-,4,
gene-HEBP2,HEBP2,NC_059166.1,-,10,
gene-HECA,HECA,NC_059166.1,-,10,
gene-HECTD1,HECTD1,NC_059176.1,+,20,
gene-HECTD2,HECTD2,NC_059179.1,+,23,
gene-HECTD3,HECTD3,NC_059162.1,+,6,
gene-HECTD4,HECTD4,NC_059173.1,-,17,
gene-HECW1,HECW1,NC_059164.1,-,8,
gene-HECW2,HECW2,NC_059158.1,-,2,
gene-HEG1,HEG1,NC_059157.1,-,1,
gene-HELB,HELB,NC_059160.1,+,4,
gene-HELLS,HELLS,NC_059179.1,+,23,
gene-HELQ,HELQ,NC_059163.1,+,7,
gene-HELT,HELT,NC_059157.1,-,1,
gene-HELZ,HELZ,NC_059159.1,+,3,
gene-HEMGN,HEMGN,NC_059159.1,-,3,
gene-HEMK1,HEMK1,NC_059177.1,-,21,
gene-HENMT1,HENMT1,NC_059162.1,+,6,
gene-HEPACAM,HEPACAM,NC_059161.1,-,5,
gene-HEPACAM2,HEPACAM2,NC_059164.1,-,8,
gene-HEPH,HEPH,NC_059181.1,+,X,
gene-HEPHL1,HEPHL1,NC_059161.1,-,5,
gene-HERC1,HERC1,NC_059167.1,-,11,
gene-HERC2,HERC2,NC_059158.1,-,2,
gene-HERC3,HERC3,NC_059163.1,-,7,
gene-HERC4,HERC4,NC_059160.1,-,4,
gene-HERC5,HERC5,NC_059163.1,-,7,
gene-HERC6,HERC6,NC_059163.1,-,7,
gene-HERPUD1,HERPUD1,NC_059174.1,+,18,
gene-HERPUD2,HERPUD2,NC_059164.1,+,8,
gene-HES1,HES1,NC_059157.1,-,1,
gene-HES2,HES2,NC_059161.1,-,5,
gene-HES4,HES4,NC_059161.1,-,5,
gene-HES5,HES5,NC_059161.1,-,5,
gene-HES6,HES6,NC_059162.1,-,6,
gene-HES7,HES7,NC_059159.1,+,3,
gene-HESX1,HESX1,NC_059177.1,+,21,
gene-HEXA,HEXA,NC_059167.1,+,11,
gene-HEXD,HEXD,NC_059159.1,+,3,
gene-HEXIM1,HEXIM1,NC_059159.1,-,3,
gene-HEXIM2,HEXIM2,NC_059159.1,-,3,
gene-HEY1,HEY1,NC_059171.1,+,15,
gene-HEY2,HEY2,NC_059166.1,+,10,
gene-HEYL,HEYL,NC_059162.1,+,6,
gene-HFE,HFE,NC_059158.1,+,2,
gene-HFM1,HFM1,NC_059162.1,+,6,
gene-HGD,HGD,NC_059157.1,-,1,
gene-HGF,HGF,NC_059164.1,+,8,
gene-HGFAC,HGFAC,NC_059163.1,+,7,
gene-HGH1,HGH1,NC_059171.1,+,15,
gene-HGS,HGS,NC_059159.1,+,3,
gene-HGSNAT,HGSNAT,NC_059157.1,-,1,
gene-HHAT,HHAT,NC_059161.1,+,5,
gene-HHATL,HHATL,NC_059177.1,-,21,
gene-HHEX,HHEX,NC_059179.1,+,23,
gene-HHIPL1,HHIPL1,NC_059176.1,-,20,
gene-HHIPL2,HHIPL2,NC_059161.1,+,5,
gene-HHLA1,HHLA1,NC_059171.1,-,15,
gene-HHLA2,HHLA2,NC_059157.1,+,1,
gene-HIBADH,HIBADH,NC_059164.1,+,8,
gene-HIBCH,HIBCH,NC_059158.1,+,2,
gene-HIC1,HIC1,NC_059159.1,-,3,
gene-HIC2,HIC2,NC_059173.1,-,17,
gene-HID1,HID1,NC_059159.1,-,3,
gene-HIF1A,HIF1A,NC_059167.1,-,11,
gene-HIF1AN,HIF1AN,NC_059179.1,+,23,
gene-HIF3A,HIF3A,NC_059174.1,+,18,
gene-HIGD1A,HIGD1A,NC_059177.1,-,21,
gene-HIGD1B,HIGD1B,NC_059159.1,-,3,
gene-HIGD2A,HIGD2A,NC_059165.1,-,9,
gene-HIKESHI,HIKESHI,NC_059161.1,-,5,
gene-HILPDA,HILPDA,NC_059164.1,+,8,
gene-HINT1,HINT1,NC_059165.1,-,9,
gene-HINT2,HINT2,NC_059159.1,-,3,
gene-HINT3,HINT3,NC_059166.1,+,10,
gene-HIP1,HIP1,NC_059180.1,+,24,
gene-HIP1R,HIP1R,NC_059173.1,+,17,
gene-HIPK1,HIPK1,NC_059162.1,-,6,
gene-HIPK2,HIPK2,NC_059164.1,-,8,
gene-HIPK3,HIPK3,NC_059172.1,-,16,
gene-HIPK4,HIPK4,NC_059174.1,-,18,
gene-HIRIP3,HIRIP3,NC_059180.1,-,24,
gene-HIVEP1,HIVEP1,NC_059158.1,+,2,
gene-HIVEP2,HIVEP2,NC_059166.1,+,10,
gene-HIVEP3,HIVEP3,NC_059162.1,+,6,
gene-HJV,HJV,NC_059162.1,+,6,
gene-HK1,HK1,NC_059160.1,+,4,
gene-HK2,HK2,NC_059168.1,-,12,
gene-HK3,HK3,NC_059165.1,+,9,
gene-HKDC1,HKDC1,NC_059160.1,+,4,
gene-HLCS,HLCS,NC_059157.1,-,1,
gene-HLF,HLF,NC_059159.1,-,3,
gene-HLTF,HLTF,NC_059157.1,+,1,
gene-HLX,HLX,NC_059161.1,-,5,
gene-HM13,HM13,NC_059170.1,-,14,
gene-HMBOX1,HMBOX1,NC_059159.1,-,3,
gene-HMBS,HMBS,NC_059172.1,-,16,
gene-HMCES,HMCES,NC_059177.1,+,21,
gene-HMCN1,HMCN1,NC_059161.1,-,5,
gene-HMCN2,HMCN2,NC_059168.1,+,12,
gene-HMG20A,HMG20A,NC_059176.1,-,20,
gene-HMG20B,HMG20B,NC_059165.1,+,9,
gene-HMGA1,HMGA1,NC_059158.1,-,2,
gene-HMGA2,HMGA2,NC_059160.1,+,4,
gene-HMGB1,HMGB1,NC_059169.1,-,13,
gene-HMGB2,HMGB2,NC_059159.1,-,3,
gene-HMGB3,HMGB3,NC_059181.1,-,X,
gene-HMGB4,HMGB4,NC_059162.1,-,6,
gene-HMGCL,HMGCL,NC_059158.1,+,2,
gene-HMGCLL1,HMGCLL1,NC_059158.1,-,2,
gene-HMGCR,HMGCR,NC_059167.1,-,11,
gene-HMGCS1,HMGCS1,NC_059175.1,+,19,
gene-HMGCS2,HMGCS2,NC_059162.1,+,6,
gene-HMGN1,HMGN1,NC_059157.1,-,1,
gene-HMGN2,HMGN2,NC_059158.1,-,2,
gene-HMGN3,HMGN3,NC_059166.1,+,10,
gene-HMGN4,HMGN4,NC_059158.1,+,2,
gene-HMGN5,HMGN5,NC_059181.1,-,X,
gene-HMGXB3,HMGXB3,NC_059165.1,-,9,
gene-HMGXB4,HMGXB4,NC_059160.1,-,4,
gene-HMMR,HMMR,NC_059165.1,-,9,
gene-HMOX1,HMOX1,NC_059160.1,-,4,
gene-HMOX2,HMOX2,NC_059180.1,-,24,
gene-HMX1,HMX1,NC_059163.1,+,7,
gene-HMX2,HMX2,NC_059179.1,+,23,
gene-HMX3,HMX3,NC_059179.1,+,23,
gene-HNF1A,HNF1A,NC_059173.1,-,17,
gene-HNF1B,HNF1B,NC_059159.1,+,3,
gene-HNF4A,HNF4A,NC_059170.1,-,14,
gene-HNF4G,HNF4G,NC_059171.1,-,15,
gene-HNMT,HNMT,NC_059158.1,-,2,
gene-HNRNPA0,HNRNPA0,NC_059165.1,+,9,
gene-HNRNPA1,HNRNPA1,NC_059160.1,+,4,
gene-HNRNPA2B1,HNRNPA2B1,NC_059164.1,+,8,
gene-HNRNPA3,HNRNPA3,NC_059158.1,-,2,
gene-HNRNPAB,HNRNPAB,NC_059165.1,-,9,
gene-HNRNPC,HNRNPC,NC_059167.1,-,11,
gene-HNRNPD,HNRNPD,NC_059163.1,+,7,
gene-HNRNPDL,HNRNPDL,NC_059163.1,+,7,
gene-HNRNPF,HNRNPF,NC_059160.1,-,4,
gene-HNRNPH1,HNRNPH1,NC_059165.1,-,9,
gene-HNRNPH2,HNRNPH2,NC_059181.1,+,X,
gene-HNRNPH3,HNRNPH3,NC_059160.1,+,4,
gene-HNRNPK,HNRNPK,NC_059159.1,-,3,
gene-HNRNPL,HNRNPL,NC_059174.1,-,18,
gene-HNRNPLL,HNRNPLL,NC_059168.1,-,12,
gene-HNRNPM,HNRNPM,NC_059165.1,-,9,
gene-HNRNPR,HNRNPR,NC_059158.1,+,2,
gene-HNRNPU,HNRNPU,NC_059161.1,-,5,
gene-HNRNPUL1,HNRNPUL1,NC_059174.1,+,18,
gene-HNRNPUL2,HNRNPUL2,NC_059161.1,-,5,
gene-HOATZ,HOATZ,NC_059172.1,-,16,
gene-HOGA1,HOGA1,NC_059179.1,+,23,
gene-HOMER1,HOMER1,NC_059167.1,+,11,
gene-HOMER2,HOMER2,NC_059176.1,+,20,
gene-HOMER3,HOMER3,NC_059165.1,-,9,
gene-HOMEZ,HOMEZ,NC_059167.1,-,11,
gene-HOOK1,HOOK1,NC_059162.1,-,6,
gene-HOOK2,HOOK2,NC_059165.1,-,9,
gene-HOOK3,HOOK3,NC_059157.1,-,1,
gene-HOPX,HOPX,NC_059163.1,+,7,
gene-HORMAD1,HORMAD1,NC_059162.1,+,6,
gene-HORMAD2,HORMAD2,NC_059173.1,-,17,
gene-HOXA1,HOXA1,NC_059164.1,+,8,
gene-HOXA10,HOXA10,NC_059164.1,+,8,
gene-HOXA11,HOXA11,NC_059164.1,+,8,
gene-HOXA13,HOXA13,NC_059164.1,+,8,
gene-HOXA2,HOXA2,NC_059164.1,+,8,
gene-HOXA3,HOXA3,NC_059164.1,+,8,
gene-HOXA4,HOXA4,NC_059164.1,+,8,
gene-HOXA5,HOXA5,NC_059164.1,+,8,
gene-HOXA6,HOXA6,NC_059164.1,+,8,
gene-HOXA7,HOXA7,NC_059164.1,+,8,
gene-HOXA9,HOXA9,NC_059164.1,+,8,
gene-HOXB1,HOXB1,NC_059159.1,-,3,
gene-HOXB13,HOXB13,NC_059159.1,-,3,
gene-HOXB2,HOXB2,NC_059159.1,-,3,
gene-HOXB3,HOXB3,NC_059159.1,-,3,
gene-HOXB4,HOXB4,NC_059159.1,-,3,
gene-HOXB5,HOXB5,NC_059159.1,-,3,
gene-HOXB6,HOXB6,NC_059159.1,-,3,
gene-HOXB7,HOXB7,NC_059159.1,-,3,
gene-HOXB8,HOXB8,NC_059159.1,-,3,
gene-HOXB9,HOXB9,NC_059159.1,-,3,
gene-HOXC10,HOXC10,NC_059160.1,+,4,
gene-HOXC4,HOXC4,NC_059160.1,+,4,
gene-HOXC5,HOXC5,NC_059160.1,+,4,
gene-HOXC6,HOXC6,NC_059160.1,+,4,
gene-HOXC8,HOXC8,NC_059160.1,+,4,
gene-HOXC9,HOXC9,NC_059160.1,+,4,
gene-HOXD1,HOXD1,NC_059158.1,-,2,
gene-HOXD10,HOXD10,NC_059158.1,-,2,
gene-HOXD11,HOXD11,NC_059158.1,-,2,
gene-HOXD12,HOXD12,NC_059158.1,-,2,
gene-HOXD13,HOXD13,NC_059158.1,-,2,
gene-HOXD3,HOXD3,NC_059158.1,-,2,
gene-HOXD4,HOXD4,NC_059158.1,-,2,
gene-HOXD8,HOXD8,NC_059158.1,-,2,
gene-HOXD9,HOXD9,NC_059158.1,-,2,
gene-HP,HP,NC_059174.1,-,18,
gene-HP1BP3,HP1BP3,NC_059158.1,+,2,
gene-HPCA,HPCA,NC_059158.1,-,2,
gene-HPCAL1,HPCAL1,NC_059168.1,-,12,
gene-HPCAL4,HPCAL4,NC_059162.1,+,6,
gene-HPD,HPD,NC_059173.1,-,17,
gene-HPDL,HPDL,NC_059162.1,-,6,
gene-HPGD,HPGD,NC_059159.1,-,3,
gene-HPGDS,HPGDS,NC_059163.1,+,7,
gene-HPN,HPN,NC_059174.1,+,18,
gene-HPRT1,HPRT1,NC_059181.1,+,X,
gene-HPS1,HPS1,NC_059179.1,-,23,
gene-HPS3,HPS3,NC_059157.1,-,1,
gene-HPS4,HPS4,NC_059173.1,+,17,
gene-HPS5,HPS5,NC_059161.1,+,5,
gene-HPS6,HPS6,NC_059179.1,+,23,
gene-HPSE,HPSE,NC_059163.1,+,7,
gene-HPSE2,HPSE2,NC_059179.1,-,23,
gene-HPX,HPX,NC_059172.1,-,16,
gene-HR,HR,NC_059159.1,-,3,
gene-HRC,HRC,NC_059174.1,-,18,
gene-HRCT1,HRCT1,NC_059159.1,+,3,
gene-HRG,HRG,NC_059157.1,-,1,
gene-HRH1,HRH1,NC_059177.1,+,21,
gene-HRH2,HRH2,NC_059167.1,+,11,
gene-HRH3,HRH3,NC_059170.1,-,14,
gene-HRH4,HRH4,NC_059178.1,+,22,
gene-HRK,HRK,NC_059173.1,-,17,
gene-HROB,HROB,NC_059159.1,-,3,
gene-HRURF,HRURF,NC_059159.1,-,3,
gene-HS1BP3,HS1BP3,NC_059168.1,+,12,
gene-HS2ST1,HS2ST1,NC_059162.1,-,6,
gene-HS3ST1,HS3ST1,NC_059163.1,+,7,
gene-HS3ST2,HS3ST2,NC_059180.1,-,24,
gene-HS3ST3A1,HS3ST3A1,NC_059159.1,+,3,
gene-HS3ST3B1,HS3ST3B1,NC_059159.1,-,3,
gene-HS3ST4,HS3ST4,NC_059180.1,-,24,
gene-HS3ST5,HS3ST5,NC_059166.1,-,10,
gene-HS3ST6,HS3ST6,NC_059180.1,+,24,
gene-HS6ST1,HS6ST1,NC_059158.1,+,2,
gene-HS6ST2,HS6ST2,NC_059181.1,-,X,
gene-HS6ST3,HS6ST3,NC_059169.1,-,13,
gene-HSBP1,HSBP1,NC_059174.1,+,18,
gene-HSBP1L1,HSBP1L1,NC_059178.1,+,22,
gene-HSCB,HSCB,NC_059173.1,-,17,
gene-HSD11B1,HSD11B1,NC_059161.1,+,5,
gene-HSD11B1L,HSD11B1L,NC_059165.1,+,9,
gene-HSD11B2,HSD11B2,NC_059174.1,+,18,
gene-HSD17B1,HSD17B1,NC_059159.1,-,3,
gene-HSD17B10,HSD17B10,NC_059181.1,+,X,
gene-HSD17B11,HSD17B11,NC_059163.1,+,7,
gene-HSD17B12,HSD17B12,NC_059172.1,-,16,
gene-HSD17B13,HSD17B13,NC_059163.1,+,7,
gene-HSD17B14,HSD17B14,NC_059174.1,-,18,
gene-HSD17B2,HSD17B2,NC_059174.1,+,18,
gene-HSD17B4,HSD17B4,NC_059165.1,+,9,
gene-HSD17B7,HSD17B7,NC_059162.1,-,6,
gene-HSD17B8,HSD17B8,NC_059158.1,-,2,
gene-HSD3B7,HSD3B7,NC_059180.1,-,24,
gene-HSDL1,HSDL1,NC_059174.1,-,18,
gene-HSDL2,HSDL2,NC_059159.1,+,3,
gene-HSF1,HSF1,NC_059171.1,+,15,
gene-HSF2,HSF2,NC_059166.1,+,10,
gene-HSF4,HSF4,NC_059174.1,+,18,
gene-HSF5,HSF5,NC_059159.1,+,3,
gene-HSH2D,HSH2D,NC_059165.1,+,9,
gene-HSP90AA1,HSP90AA1,NC_059176.1,+,20,
gene-HSP90AB1,HSP90AB1,NC_059158.1,-,2,
gene-HSP90B1,HSP90B1,NC_059160.1,-,4,
gene-HSPA12A,HSPA12A,NC_059179.1,-,23,
gene-HSPA12B,HSPA12B,NC_059170.1,+,14,
gene-HSPA13,HSPA13,NC_059157.1,+,1,
gene-HSPA14,HSPA14,NC_059170.1,-,14,
gene-HSPA2,HSPA2,NC_059167.1,-,11,
gene-HSPA4,HSPA4,NC_059165.1,-,9,
gene-HSPA4L,HSPA4L,NC_059173.1,+,17,
gene-HSPA5,HSPA5,NC_059168.1,-,12,
gene-HSPA6,HSPA6,NC_059162.1,-,6,
gene-HSPA8,HSPA8,NC_059172.1,+,16,
gene-HSPA9,HSPA9,NC_059165.1,+,9,
gene-HSPB1,HSPB1,NC_059180.1,-,24,
gene-HSPB11,HSPB11,NC_059162.1,+,6,
gene-HSPB2,HSPB2,NC_059172.1,-,16,
gene-HSPB3,HSPB3,NC_059175.1,-,19,
gene-HSPB6,HSPB6,NC_059174.1,-,18,
gene-HSPB7,HSPB7,NC_059158.1,+,2,
gene-HSPB8,HSPB8,NC_059173.1,+,17,
gene-HSPB9,HSPB9,NC_059159.1,-,3,
gene-HSPBAP1,HSPBAP1,NC_059157.1,-,1,
gene-HSPBP1,HSPBP1,NC_059174.1,+,18,
gene-HSPD1,HSPD1,NC_059158.1,-,2,
gene-HSPG2,HSPG2,NC_059158.1,+,2,
gene-HSPH1,HSPH1,NC_059169.1,-,13,
gene-HTATIP2,HTATIP2,NC_059161.1,-,5,
gene-HTATSF1,HTATSF1,NC_059181.1,-,X,
gene-HTD2,HTD2,NC_059177.1,-,21,
gene-HTR1A,HTR1A,NC_059175.1,+,19,
gene-HTR1B,HTR1B,NC_059166.1,+,10,
gene-HTR1D,HTR1D,NC_059158.1,+,2,
gene-HTR1E,HTR1E,NC_059166.1,+,10,
gene-HTR1F,HTR1F,NC_059157.1,+,1,
gene-HTR2A,HTR2A,NC_059169.1,+,13,
gene-HTR2B,HTR2B,NC_059158.1,-,2,
gene-HTR2C,HTR2C,NC_059181.1,-,X,
gene-HTR3A,HTR3A,NC_059172.1,-,16,
gene-HTR3B,HTR3B,NC_059172.1,-,16,
gene-HTR4,HTR4,NC_059165.1,+,9,
gene-HTR5A,HTR5A,NC_059164.1,+,8,
gene-HTR6,HTR6,NC_059158.1,-,2,
gene-HTR7,HTR7,NC_059179.1,-,23,
gene-HTRA1,HTRA1,NC_059179.1,+,23,
gene-HTRA2,HTRA2,NC_059168.1,-,12,
gene-HTRA3,HTRA3,NC_059163.1,-,7,
gene-HTRA4,HTRA4,NC_059157.1,-,1,
gene-HTT,HTT,NC_059163.1,+,7,
gene-HUNK,HUNK,NC_059157.1,-,1,
gene-HUS1,HUS1,NC_059164.1,+,8,
gene-HUWE1,HUWE1,NC_059181.1,+,X,
gene-HVCN1,HVCN1,NC_059173.1,+,17,
gene-HYAL1,HYAL1,NC_059177.1,+,21,
